year,days_published,newspaper_name,city,state,total_circulation,county,rucc,rucc_description,metro,latitude,longitude,state_full
2016,1,Pensacola Voice,Pensacola,Fla.,37500,Escambia,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,30.4213,-87.2169,Florida
2016,1,Colorado Springs Independent,Colorado Springs,Colo.,37500,El Paso,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,38.8339,-104.821,Colorado
2016,7,Times-Tribune,Scranton,Pa.,37329,Lackawanna,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,41.4044,-75.6649,Pennsylvania
2016,1,South County Edition,St Louis,Mo.,37169,Moniteau,minor,"Metro - Counties in metro areas of fewer than 250,000 population",1,38.6358,-92.5082,Missouri
2016,7,Gazette,Colorado Springs,Colo.,37122,El Paso,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,38.8673,-104.761,Colorado
2016,1,County Star,Champaign,Ill.,37103,Champaign,minor,"Metro - Counties in metro areas of fewer than 250,000 population",1,40.1138,-88.2753,Illinois
2016,1,Hololulu Weekly,Honolulu,Hawaii,37000,Honolulu,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,21.3069,-157.858,Hawaii
2016,1,Portland Observer,Portland,Ore.,37000,Multnomah,major,Metro - Counties in metro areas of 1 million population or more,1,45.5231,-122.676,Oregon
2016,1,Olmsted County Journal,Rochester,Minn.,36986,Olmsted,minor,"Metro - Counties in metro areas of fewer than 250,000 population",1,44.0121,-92.4802,Minnesota
2016,1,South County Times,Affton,Mo.,36950,St. Louis,major,Metro - Counties in metro areas of 1 million population or more,1,38.5498,-90.3262,Missouri
2016,1,Weekly Alibi,Albuquerque,N.M.,36914,Bernalillo,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,35.0853,-106.606,New Mexico
2016,7,Wilmington StarNews,Wilmington,N.C.,36629,New Hanover,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,34.2181,-77.8774,North Carolina
2016,1,Sunnyvale Sun,Sunnyvale,Calif.,36450,Santa Clara,major,Metro - Counties in metro areas of 1 million population or more,1,37.3857,-122.026,California
2016,7,Clarion-Ledger,Jackson,Miss.,36442,Hinds,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,32.317,-90.2128,Mississippi
2016,7,Waterbury Republican-American,Waterbury,Conn.,36329,New Haven,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,41.5582,-73.0361,Connecticut
2016,7,News-Press,Fort Myers,Fla.,36275,Lee,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,26.6195,-81.8303,Florida
2016,7,Beacon-News The,Aurora,Ill.,36228,Kane,major,Metro - Counties in metro areas of 1 million population or more,1,41.7627,-88.3192,Illinois
2016,7,Standard-Examiner,Ogden,Utah,36208,Weber,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,41.2281,-111.968,Utah
2016,3,Diario Las Americas,Miami,Fla.,36028,Miami-Dade,major,Metro - Counties in metro areas of 1 million population or more,1,25.7617,-80.1918,Florida
2016,7,Florida Today,Melbourne,Fla.,36019,Brevard,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,28.1255,-80.6595,Florida
2016,1,Times of Acadiana,Lafayette,La.,36000,Lafayette Parish,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,30.2241,-92.0198,Louisiana
2016,1,Pacific Sun,San Rafael,Calif.,36000,Marin,major,Metro - Counties in metro areas of 1 million population or more,1,37.9735,-122.531,California
2016,1,Bellevue Reporter,Bellevue,Wash.,35842,King,major,Metro - Counties in metro areas of 1 million population or more,1,47.6104,-122.201,Washington
2016,1,Neighbor News,Rockaway,N.J.,35796,Morris,major,Metro - Counties in metro areas of 1 million population or more,1,40.8969,-74.5155,New Jersey
2016,1,Lititz Record Express,Lititz,Pa.,35750,Lancaster,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,40.1565,-76.3069,Pennsylvania
2016,1,Milford-Orange Bulletin,Milford,Conn.,35708,New Haven,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,41.2237,-73.0616,Connecticut
2016,1,Portland Mercury,Portland,Ore.,35653,Multnomah,major,Metro - Counties in metro areas of 1 million population or more,1,45.5231,-122.676,Oregon
2016,1,Community Common,Portsmouth,Ohio,35640,Scioto,rural,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",0,38.7539,-82.9444,Ohio
2016,1,Farm Forum,Aberdeen,S.D.,35409,Brown,rural,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",0,45.4647,-98.4865,South Dakota
2016,1,Star News,Chula Vista,Calif.,35270,San Diego,major,Metro - Counties in metro areas of 1 million population or more,1,32.6277,-117.014,California
2016,1,Eugene Weekly,Eugene,Ore.,35267,Lane,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,44.0521,-123.087,Oregon
2016,7,Idaho Statesman The,Boise,Idaho,35238,Ada,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,43.6158,-116.252,Idaho
2016,1,New Times,San Luis Obispo,Calif.,35226,San Luis Obispo,minor,"Metro - Counties in metro areas of 250,000 to 1 million population",1,35.2828,-120.66,California
2016,2,Stateline News,Beloit,Wisc.,35185,Rock,minor,"Metro - Counties in metro areas of fewer than 250,000 population",1,42.5231,-89.0183,Wisconsin
2016,1,News Leader,Clermont,Fla.,35145,Lake,major,Metro - Counties in metro areas of 1 million population or more,1,28.5418,-81.7298,Florida
2016,1,La Prensa,Longwood,Fla.,35000,Seminole,major,Metro - Counties in metro areas of 1 million population or more,1,28.7015,-81.3487,Florida
2016,1,Florida Star,Jacksonville,Fla.,35000,Duval,major,Metro - Counties in metro areas of 1 million population or more,1,30.3322,-81.6556,Florida
2016,1,Atlanta Metro,Atlanta,Ga.,35000,Fulton,major,Metro - Counties in metro areas of 1 million population or more,1,33.749,-84.388,Georgia
2016,1,Atlanta-News Leader,Atlanta,Ga.,35000,Fulton,major,Metro - Counties in metro areas of 1 million population or more,1,33.749,-84.388,Georgia
