days_published,newspaper_name,city,state,total_circulation,county,state_full
1,Macon County Times,Lafayette,Tenn.,4018,Macon,Tennessee
1,Jamestown News,Jamestown,N.C.,4010,Guilford,North Carolina
1,Ramsey Reporter,Ramsey,N.J.,4010,Bergen,New Jersey
1,Zephyrhills News,Zephyrhills,Fla.,4008,Pasco,Florida
1,Stigler News-Sentinel,Stigler,Okla.,4006,Haskell,Oklahoma
4,Daily Reporter,Spencer,Iowa,4004,Clay,Iowa
1,Smoky Mountain Times,Bryson City,N.C.,4003,Swain,North Carolina
1,Karnes Countywide,Karnes City,Texas,4000,Karnes,Texas
1,Gilchrist County Journal,Trenton,Fla.,4000,Gilchrist,Florida
1,Comal County Beacon,Canyon Lake,Texas,4000,Comal,Texas
1,Canyon Lake Week,Canyon Lake,Texas,4000,Comal,Texas
1,Ocean Springs Record,Ocean Springs,Miss.,4000,Jackson,Mississippi
1,Navarre Press,Navarre,Fla.,4000,Santa Rosa,Florida
1,Islander The,St Simons Island,Ga.,4000,Glynn,Georgia
2,Bryan County News,Richmond Hill,Ga.,4000,Bryan,Georgia
1,Enterprise & Interstate Progress,Mansfield,La.,4000,De Soto Parish,Louisiana
5,Cleburne Times-Review,Cleburne,Texas,4000,Johnson,Texas
1,Colorado City Record,Colorado City,Texas,4000,Mitchell,Texas
1,Ellis County Press,Ferris,Texas,4000,Ellis,Texas
1,Auburn Villager,Auburn,Ala.,4000,Lee,Alabama
2,Terrell Tribune,Terrell,Texas,4000,Kaufman,Texas
2,Thomaston Times,Thomaston,Ga.,4000,Upson,Georgia
1,Rockwall County News,Rockwall,Texas,4000,Rockwall,Texas
1,Herald,Truth or Consequences,N.M.,4000,Sierra,New Mexico
1,Edgefield Advertiser,Edgefield,S.C.,4000,Edgefield,South Carolina
1,Oconee Enterprise,Watkinsville,Ga.,4000,Oconee,Georgia
1,South Pasadena Review,South Pasadena,Calif.,4000,Los Angeles,California
1,Marion Star & Mullins Enterprise,Marion,S.C.,4000,Marion,South Carolina
1,Atoka County Times,Atoka,Okla.,4000,Atoka,Oklahoma
1,Red Bay News,Red Bay,Ala.,4000,Franklin,Alabama
1,Victorville Post Express,Victorville,Calif.,4000,San Bernardino,California
1,Adelanto Bulletin,Adelanto,Calif.,4000,San Bernardino,California
6,Anadarko News,Anadarko,Okla.,4000,Caddo,Oklahoma
1,Mustang News,Mustang,Okla.,4000,Canadian,Oklahoma
5,Los Alamos Monitor,Los Alamos,N.M.,4000,Los Alamos,New Mexico
1,Alamance News,Graham,N.C.,4000,Alamance,North Carolina
1,Franklin Favorite,Franklin,Ky.,4000,Simpson,Kentucky
2,Smyth County News & Messenger,Marion,Va.,4000,Smyth,Virginia
5,Miami News-Record,Miami,Okla.,4000,Ottawa,Oklahoma
1,York Town Crier/Poquoson Post,Yorktown,Va.,4000,York,Virginia
1,Hilmar Times,Hilmar,Calif.,4000,Merced,California
1,Jackson Times,Jackson,Ky.,4000,Breathitt,Kentucky
1,Beattyville Enterprise,Beattyville,Ky.,4000,Lee,Kentucky
1,Berea Citizen,Berea,Ky.,4000,Madison,Kentucky
1,Andover American,Andover,Kan.,4000,Butler,Kansas
1,Somerset Herald,Princess Anne,Md.,4000,Somerset,Maryland
1,North County News,Red Bud,Ill.,4000,Randolph,Illinois
1,Gunnison Country Times,Gunnison,Colo.,4000,Gunnison,Colorado
1,Osage County Herald-Chronicle,Osage City,Kan.,4000,Osage,Kansas
1,Sunday Times-Sentinel,Gallipolis,Ohio,4000,Gallia,Ohio
1,Parsons Advocate,Parsons,W.Va.,4000,Tucker,West Virginia
1,Ranchland News,Simla,Colo.,4000,Elbert,Colorado
1,Snowmass Sun,Snowmass Village,Colo.,4000,Pitkin,Colorado
1,Kearney Courier,Kearney,Mo.,4000,Clay,Missouri
1,Tyler Star News,Sistersville,W.Va.,4000,Tyler,West Virginia
1,Upper Darby Press,Upper Darby,Pa.,4000,Delaware,Pennsylvania
1,Progressor Times,Carey,Ohio,4000,Wyandot,Ohio
1,Mohawk Leader,Sycamore,Ohio,4000,Wyandot,Ohio
1,Sag Harbor Express,Sag Harbor,N.Y.,4000,Suffolk,New York
1,Block Island Times The,Block Island,R.I.,4000,Washington,Rhode Island
6,Titusville Herald,Titusville,Pa.,4000,Crawford,Pennsylvania
5,Rawlins Daily Times,Rawlins,Wyo.,4000,Carbon,Wyoming
1,Des Plaines Valley News,Summit,Ill.,4000,Cook,Illinois
2,Tecumseh Herald,Tecumseh,Mich.,4000,Lenawee,Michigan
1,Dyersville Commercial,Dyersville,Iowa,4000,Dubuque,Iowa
1,Lake Geneva Regional News,Lake Geneva,Wisc.,4000,Walworth,Wisconsin
1,Star Valley Independent,Afton,Wyo.,4000,Lincoln,Wyoming
1,Pinedale Roundup,Pinedale,Wyo.,4000,Sublette,Wyoming
1,Henrietta Post,Henrietta,N.Y.,4000,Monroe,New York
1,Lake Placid News,Lake Placid,N.Y.,4000,Essex,New York
5,Ogdensburg Journal,Ogdensburg,N.Y.,4000,St. Lawrence,New York
2,Powell Tribune,Powell,Wyo.,4000,Park,Wyoming
1,Piscataquis ObserverThe,Dover Foxcroft,Maine,4000,Piscataquis,Maine
1,Lone Peak Lookout,Big Sky,Mont.,4000,Gallatin,Montana
1,Wallowa County Chieftain,Enterprise,Ore.,4000,Wallowa,Oregon
1,Monroe Monitor/Valley News,Monroe,Wash.,4000,Snohomish,Washington
1,Stanwood/Camano News,Stanwood,Wash.,4000,Snohomish,Washington
5,Havre Daily News,Havre,Mont.,4000,Hill,Montana
5,Fairborn Daily Herald,Fairborn,Ohio,3999,Greene,Ohio
1,Addison Press,Addison,Ill.,3992,DuPage,Illinois
1,Navasota Examiner,Navasota,Texas,3986,Grimes,Texas
1,Jeffersonian Democrat,Brookville,Pa.,3986,Jefferson,Pennsylvania
1,Homes County Hub,Millersburg,Ohio,3979,Holmes,Ohio
7,Salem News,Salem,Ohio,3979,Columbiana,Ohio
1,LaRue County Herald News,Hodgenville,Ky.,3977,Larue,Kentucky
1,Hancock County Journal-Pilot,Carthage,Ill.,3977,Hancock,Illinois
1,Delano Record,Delano,Calif.,3976,Kern,California
1,Annapolis Times,Annapolis,Md.,3975,Anne Arundel,Maryland
2,Kilgore News Herald,Kilgore,Texas,3970,Gregg,Texas
1,Sylvania Telephone,Sylvania,Ga.,3970,Screven,Georgia
1,Sudbury Town Crier,Sudbury,Mass.,3969,Middlesex,Massachusetts
5,Daily Record,Lawrenceville,Ill.,3964,Lawrence,Illinois
1,Riverside Palaver,Fairmount,Ind.,3960,Grant,Indiana
1,Amherst New Era Progress,Amherst,Va.,3943,Amherst,Virginia
1,Arlington Advocate,Arlington,Mass.,3939,Middlesex,Massachusetts
2,Plymouth Observer,Plymouth,Mich.,3938,Wayne,Michigan
5,Abilene Reflector-Chronicle,Abilene,Kan.,3935,Dickinson,Kansas
